old_id,new_id
TC-LOC-CPR-117,TC-CPR-STR-017
TC-LOC-CPR-118,TC-CPR-STR-018
TC-LOC-CPR-119,TC-CPR-STR-019
TC-LOC-CPR-120,TC-CPR-STR-020
TC-LOC-CPR-121,TC-CPR-STR-021
TC-LOC-CPR-122,TC-CPR-STR-022
TC-LOC-CPR-123,TC-CPR-STR-023
TC-LOC-CPR-124,TC-CPR-STR-024
TC-LOC-CPR-125,TC-CPR-STR-025
TC-LOC-CPR-601,TC-CPR-TIO-001
TC-LOC-CPR-602,TC-CPR-TIO-002
TC-LOC-CPR-603,TC-CPR-TIO-003
TC-LOC-CPR-604,TC-CPR-TIO-004
TC-LOC-CPR-605,TC-CPR-TIO-005
TC-LOC-CPR-606,TC-CPR-TIO-006
TC-LOC-CPR-607,TC-CPR-TIO-007
TC-LOC-CPR-608,TC-CPR-TIO-008
TC-LOC-CPR-609,TC-CPR-TIO-009
TC-LOC-CPR-610,TC-CPR-TIO-010
TC-LOC-CPR-611,TC-CPR-TIO-011
TC-LOC-CPR-612,TC-CPR-TIO-012
TC-LOC-CPR-613,TC-CPR-TIO-013
TC-LOC-CPR-614,TC-CPR-TIO-014
TC-LOC-CPR-615,TC-CPR-TIO-015
TC-LOC-CPR-616,TC-CPR-TIO-016
TC-LOC-CPR-617,TC-CPR-TIO-017
TC-LOC-LI-NE-011,TC-LOC-LI-078
TC-LOC-LI-NE-012,TC-LOC-LI-079
TC-LOC-LI-NE-013,TC-LOC-LI-080
TC-LOC-LI-NE-014,TC-LOC-LI-081
TC-LOC-LI-NE-015,TC-LOC-LI-082
TC-LOC-LI-NE-016,TC-LOC-LI-083
TC-LOC-LI-NE-017,TC-LOC-LI-084
TC-LOC-LI-NE-018,TC-LOC-LI-085
TC-LOC-LI-NE-019,TC-LOC-LI-086
TC-LOC-LI-NE-020,TC-LOC-LI-087
TC-LOC-LI-NE-021,TC-LOC-LI-088
TC-LOC-LI-NE-022,TC-LOC-LI-089
TC-LOC-LI-NE-023,TC-LOC-LI-090
TC-LOC-LI-NE-024,TC-LOC-LI-091
TC-LOC-LI-NE-025,TC-LOC-LI-092
TC-LOC-LI-NE-026,TC-LOC-LI-093
TC-LOC-LI-NE-027,TC-LOC-LI-094
TC-LOC-LI-NE-028,TC-LOC-LI-095
TC-LOC-LI-NE-029,TC-LOC-LI-096
TC-LOC-LI-NE-030,TC-LOC-LI-097
TC-LOC-LI-NE-031,TC-LOC-LI-098
TC-LOC-LI-NE-032,TC-LOC-LI-099
TC-LOC-LI-NE-033,TC-LOC-LI-100
TC-LOC-LI-NE-034,TC-LOC-LI-101
TC-LOC-LI-NE-035,TC-LOC-LI-102
TC-LOC-LI-NE-036,TC-LOC-LI-103
TC-LOC-LI-NE-037,TC-LOC-LI-104
TC-LOC-LI-NE-038,TC-LOC-LI-105
TC-LOC-LI-NE-039,TC-LOC-LI-106
TC-LOC-LI-NE-040,TC-LOC-LI-107
TC-LOC-LI-NE-041,TC-LOC-LI-108
TC-LOC-LI-NE-042,TC-LOC-LI-109
TC-LOC-LI-NE-043,TC-LOC-LI-110
TC-LOC-LI-NE-044,TC-LOC-LI-111
TC-LOC-LI-NE-045,TC-LOC-LI-112
TC-LOC-LI-NE-046,TC-LOC-LI-113
TC-LOC-LI-NE-047,TC-LOC-LI-114
TC-LOC-LI-SKIP-BILLING,TC-LOC-LI-070
BUG-LOC-SHR-001,BUG-LOC-SSL-001
BUG-CPR-001,BUG-CPR-OVR-001
BUG-HIS-001,BUG-LOC-MGH-002
BUG-HIS-002,BUG-LOC-MGH-003
